Sector,Category of Employee,Grade / Service Details,Year of Service,Rate Type,Rate,Effective From,Notes
Security Services,Security Guard,,5th year,monthly,18394,2024-01-01,
Security Services,Security Guard,,6th year,monthly,18509,2024-01-01,
Security Services,Security Guard,,7th year,monthly,18624,2024-01-01,
Security Services,Security Guard,,8th year,monthly,18739,2024-01-01,
Security Services,Security Guard,,9th year,monthly,18854,2024-01-01,
Security Services,Security Guard,,10th year and thereafter,monthly,18969,2024-01-01,
Sugar Industry,Motor Mechanic,Heavy Mechanical Unit - Chief,0,monthly,22289,2024-07-01,Non-agricultural workers
Sugar Industry,Motor Mechanic,Heavy Mechanical Unit - Superior grade,0,monthly,21088,2024-07-01,Non-agricultural workers
Sugar Industry,Motor Mechanic,Heavy Mechanical Unit - Grade I,0,monthly,20580,2024-07-01,Non-agricultural workers
Sugar Industry,Motor Mechanic,Heavy Mechanical Unit - Grade II,0,monthly,20074,2024-07-01,Non-agricultural workers
Sugar Industry,Motor Mechanic / Pan Boiler / Electrician,Chief,0,monthly,21976,2024-07-01,Non-agricultural workers
Sugar Industry,Motor Mechanic / Pan Boiler / Electrician,Superior grade,0,monthly,20833,2024-07-01,Non-agricultural workers
Sugar Industry,Motor Mechanic / Pan Boiler / Electrician,Grade I,0,monthly,20314,2024-07-01,Non-agricultural workers
Sugar Industry,Motor Mechanic / Pan Boiler / Electrician,Grade II,0,monthly,19686,2024-07-01,Non-agricultural workers
Sugar Industry,Blacksmith / Coppersmith / Fitter / Moulder / Pattern Maker / Plumber and Pipefitter / Sheet metal employee / Boiler maker / Turner / Welder,Chief,0,monthly,20956,2024-07-01,Non-agricultural workers
Sugar Industry,Blacksmith / Coppersmith / Fitter / Moulder / Pattern Maker / Plumber and Pipefitter / Sheet metal employee / Boiler maker / Turner / Welder,Superior grade,0,monthly,20833,2024-07-01,Non-agricultural workers
Sugar Industry,Blacksmith / Coppersmith / Fitter / Moulder / Pattern Maker / Plumber and Pipefitter / Sheet metal employee / Boiler maker / Turner / Welder,Grade I,0,monthly,20314,2024-07-01,Non-agricultural workers
Sugar Industry,Blacksmith / Coppersmith / Fitter / Moulder / Pattern Maker / Plumber and Pipefitter / Sheet metal employee / Boiler maker / Turner / Welder,Grade II,0,monthly,19686,2024-07-01,Non-agricultural workers
Sugar Industry,Painter / Tinsmith / Carpenter / Mason / Rigger / Laboratory Attendant,Chief,0,monthly,20833,2024-07-01,Non-agricultural workers
Sugar Industry,Painter / Tinsmith / Carpenter / Mason / Rigger / Laboratory Attendant,Superior grade,0,monthly,20579,2024-07-01,Non-agricultural workers
Sugar Industry,Painter / Tinsmith / Carpenter / Mason / Rigger / Laboratory Attendant,Grade I,0,monthly,19497,2024-07-01,Non-agricultural workers
Sugar Industry,Painter / Tinsmith / Carpenter / Mason / Rigger / Laboratory Attendant,Grade II,0,monthly,19347,2024-07-01,Non-agricultural workers
Sugar Industry,Driver - Heavy Mechanical Unit / Loading and Harvesting Machine Operator,Superior grade,0,monthly,20071,2024-07-01,Non-agricultural workers
Sugar Industry,Driver - Heavy Mechanical Unit / Loading and Harvesting Machine Operator,Grade I,0,monthly,19371,2024-07-01,Non-agricultural workers
Sugar Industry,Driver - Heavy Mechanical Unit / Loading and Harvesting Machine Operator,Grade II,0,monthly,19163,2024-07-01,Non-agricultural workers
Sugar Industry,Driver (lorries / vans / buses / cars / rollers / wheel tractor / light loader),Superior grade,0,monthly,19645,2024-07-01,Non-agricultural workers
Sugar Industry,Driver (lorries / vans / buses / cars / rollers / wheel tractor / light loader),Grade I,0,monthly,19371,2024-07-01,Non-agricultural workers
Sugar Industry,Driver (lorries / vans / buses / cars / rollers / wheel tractor / light loader),Grade II,0,monthly,19163,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Superior grade,1st year,monthly,18948,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Superior grade,2nd year,monthly,19005,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Superior grade,3rd year,monthly,19035,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Superior grade,4th year,monthly,19071,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Superior grade,5th year,monthly,19104,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Superior grade,6th year & thereafter,monthly,19163,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Grade I,1st year,monthly,18724,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Grade I,2nd year,monthly,18759,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Grade I,3rd year,monthly,18776,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Grade I,4th year,monthly,18796,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Grade I,5th year,monthly,18822,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Grade I,6th year & thereafter,monthly,18942,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Grade II,1st year,monthly,18475,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Grade II,2nd year,monthly,18552,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Grade II,3rd year,monthly,18669,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Grade II,4th year,monthly,18590,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Grade II,5th year,monthly,18623,2024-07-01,Non-agricultural workers
Sugar Industry,Factory Operator,Grade II,6th year & thereafter,monthly,18695,2024-07-01,Non-agricultural workers
Sugar Industry,Evaporator Attendant / Boiler Attendant / Hotwater Treatment Plant Attendant,Chief,0,monthly,19163,2024-07-01,Non-agricultural workers
Sugar Industry,Evaporator Attendant / Boiler Attendant / Hotwater Treatment Plant Attendant,Others,0,monthly,18724,2024-07-01,Non-agricultural workers
Sugar Industry,Sugar Refiner / Peseur de jus / Striker,,0,monthly,18724,2024-07-01,Non-agricultural workers
Sugar Industry,Office Messenger / Store Attendant,Chief,0,monthly,18724,2024-07-01,Non-agricultural workers
Sugar Industry,Office Messenger / Store Attendant,Others,0,monthly,18455,2024-07-01,Non-agricultural workers
Sugar Industry,Telephone Operator / Sampler / Bagger and Stoker,,0,monthly,18552,2024-07-01,Non-agricultural workers
Sugar Industry,Clarifier Employee / Filter Press Employee / Irrigation Pipe Adjuster / Bus Attendant / Locomotive Attendant / Lorry Loader / Lorry Attendant / Tractor Attendant / Tyre Repairer / Lime Control Employee,,0,monthly,18455,2024-07-01,Non-agricultural workers
Sugar Industry,Irrigation Pump Operator,,1st year,monthly,18948,2024-07-01,Non-agricultural workers
Sugar Industry,Irrigation Pump Operator,,2nd year,monthly,19005,2024-07-01,Non-agricultural workers
Sugar Industry,Irrigation Pump Operator,,3rd year,monthly,19035,2024-07-01,Non-agricultural workers
Sugar Industry,Irrigation Pump Operator,,4th year,monthly,19071,2024-07-01,Non-agricultural workers
Sugar Industry,Irrigation Pump Operator,,5th year,monthly,19104,2024-07-01,Non-agricultural workers
Sugar Industry,Irrigation Pump Operator,,6th year & thereafter,monthly,19163,2024-07-01,Non-agricultural workers
Sugar Industry,Coachsmith / Coachpainter,,0,monthly,20579,2024-07-01,Non-agricultural workers
Tea Industry,Field Labourer,Male,,monthly,17100,2024-07-01,
Tea Industry,Field Labourer,Female,,monthly,16500,2024-07-01,
Tea Industry,Sirdar or Gangman,,,monthly,17641,2024-07-01,
Tea Industry,Factory Employee,Male,,monthly,17100,2024-07-01,
Tea Industry,Factory Employee,Female,,monthly,16500,2024-07-01,
Tea Industry,Gardener,,,monthly,17100,2024-07-01,
Tea Industry,Factory Supervisor,,,monthly,18553,2024-07-01,
Tea Industry,Messenger,,,monthly,17100,2024-07-01,
Tea Industry,Store Attendant,,,monthly,17383,2024-07-01,
Tea Industry,Laboratory Attendant,Grade I,,monthly,17383,2024-07-01,
Tea Industry,Laboratory Attendant,Grade II,,monthly,17148,2024-07-01,
Tea Industry,Assistant Sirdar or Gangman,,,monthly,17235,2024-07-01,
Tea Industry,Turner / Fitter / Electrician / Motor Mechanic / Welder / Plumber and Pipe Fitter,Grade I,,monthly,18263,2024-07-01,
Tea Industry,Turner / Fitter / Electrician / Motor Mechanic / Welder / Plumber and Pipe Fitter,Grade II,,monthly,17952,2024-07-01,
Tea Industry,Turner / Fitter / Electrician / Motor Mechanic / Welder / Plumber and Pipe Fitter,Grade III,,monthly,17453,2024-07-01,
Tea Industry,Carpenter & Stone Mason,Grade I,,monthly,17471,2024-07-01,
Tea Industry,Carpenter & Stone Mason,Grade II,,monthly,17262,2024-07-01,
Tea Industry,Carpenter & Stone Mason,Grade III,,monthly,17100,2024-07-01,
Tea Industry,Factory Operator,,,monthly,17383,2024-07-01,
Tea Industry,Weigher,Grade I,,monthly,17993,2024-07-01,
Tea Industry,Weigher,Grade II,,monthly,17429,2024-07-01,
Tea Industry,Leaf Checker,,,monthly,17375,2024-07-01,
Tea Industry,Driver,Grade I,,monthly,17513,2024-07-01,
Tea Industry,Driver,Grade II,,monthly,17315,2024-07-01,
Tea Industry,Lorry Attendant / Lorry Helper,,,monthly,17100,2024-07-01,
Tea Industry,Factory Attendant,,,monthly,17100,2024-07-01,
Tea Industry,Boiler & Turbine Operator,,,monthly,18366,2024-07-01,
